id,name,host_id,host_name,neighbourhood_group,neighbourhood,city,latitude,longitude,room_type,price,number_of_reviews,calculated_host_listings_count
72059,John and Normas Homestay B&B,371121,John,"",Haringey,London,51.59478,-0.14142,Private room,"£80,00",51,1
72913,Dbl en suite @ Oval tube Sth London,379315,Matthew,"",Lambeth,London,51.48064,-0.11439,Private room,"£45,00",155,1
73431,Two bedroom luxury Flat in Brixton with city view!,383525,Emi,"",Lambeth,London,51.46295,-0.112,Entire home/apt,"£52,00",59,1
74107,Well-priced 1 bed for short-term let,388850,Charlotte,"",Brent,London,51.54144,-0.20784,Entire home/apt,"£110,00",123,1
74954,Double room in airy modern flat 15 mins to C Ldn,102034,Richard,"",Wandsworth,London,51.4435,-0.19039,Private room,"£25,00",24,1
75120,A Fab Family house in Kensington,183658,Maria,"",Hammersmith and Fulham,London,51.49389,-0.20418,Entire home/apt,"£400,00",121,2
76440,Bed&Breakfast in my Little House,407951,Alison,"",Newham,London,51.54367,0.01051,Private room,"£36,00",210,2
76932,VACATIONS / HOLIDAYS IN LONDON ?,196620,Fay,"",Westminster,London,51.52506,-0.1845,Entire home/apt,"£200,00",34,3
78606,Peaceful Room Near Epping Forest,422362,Nicola,"",Waltham Forest,London,51.57157,0.01088,Private room,"£45,00",2,1
78892,Bright single room in family home.,424230,Julia,"",Southwark,London,51.46452,-0.0797,Private room,"£32,00",55,1
79129,Double Room 2 Miles from Wimbledon in Morden SM4,425764,Danielle,"",Merton,London,51.39711,-0.21342,Private room,"£40,00",127,1
79216,"2 twin beds in dble rm, Catford, UK",426378,Thesla,"",Lewisham,London,51.43828,-0.01975,Private room,"£60,00",0,1
79488,Charming Apartment Amazing Location,428080,Christopher,"",Westminster,London,51.5187,-0.16726,Entire home/apt,"£140,00",13,1
79571,Chelsea Studio by Kings Road London,428600,Nicholas,"",Kensington and Chelsea,London,51.4917,-0.16183,Entire home/apt,"£85,00",13,1
80123,Pretty Self Contained Coach House,432648,Melanie,"",Wandsworth,London,51.4533,-0.15646,Entire home/apt,"£95,00",127,1
80441,5min from the Big Ben,416812,Esther,"",Lambeth,London,51.49494,-0.12004,Entire home/apt,"£95,00",85,1
81015,DOUBLE ROOM,269609,Trudi,"",Croydon,London,51.40092,-0.10452,Private room,"£35,00",0,2
81052,Bright spacious 2 bed in Islington,438948,Aslak,"",Islington,London,51.53924,-0.10209,Entire home/apt,"£133,00",10,1
81080,Luxury Self contained Studio Apt.,439154,Lucy,"",Richmond upon Thames,London,51.40692,-0.3345,Hotel room,"£180,00",8,5
81211,Hampstead Home from home  in great area.,439880,Liz,"",Camden,London,51.54838,-0.16344,Entire home/apt,"£125,00",8,1
81410,LUx inCENTRAL LONDON NEAR OXFORD ST,441494,Fernando,"",Westminster,London,51.52123,-0.14033,Entire home/apt,"£400,00",196,4
