id,name,host_id,host_name,neighbourhood_group,neighbourhood,city,latitude,longitude,room_type,price,number_of_reviews,calculated_host_listings_count
246383,Tamarama Penthouse,774227,Robert,"",Waverley,Sydney,"-33,8985000","151,2710995",Entire home/apt,"$500,00",1,1
249100,Rainforest garden apartment - deck,1305178,Judy,"",North Sydney,Sydney,"-33,8437000","151,2147891",Private room,"$90,00",74,2
249158,Loft Style Apartment minutes walk from the city,1305383,Beachside,"",Sydney,Sydney,"-33,8760000","151,1970850",Entire home/apt,"$150,00",81,1
249847,Manly Luxury 2 Bedroom Beachside Apartment 100 m2,1309479,Brigitte,"",Manly,Sydney,"-33,7996000","151,2899770",Entire home/apt,"$450,00",0,1
249998,Private Art Deco Garden Apartment,1310233,Stefanie,"",Waverley,Sydney,"-33,8941000","151,2513760",Entire home/apt,"$251,00",14,1
252427,Sunny Oceanside Deco Apartment,1214840,Jenni,"",Randwick,Sydney,"-33,9263000","151,2591159",Entire home/apt,"$130,00",12,1
252452,Harbour Foreshore Shared Accommod,1324995,Robert,"",Sydney,Sydney,"-33,8579000","151,2062482",Private room,"$96,00",17,3
254109,Northern suburbs tranquility,1334759,Penne,"",Hornsby,Sydney,"-33,7206000","151,0674929",Private room,"$75,00",12,2
255059,"Modern Terrace, Cool Sydney Suburb",1340280,Sally,"",Marrickville,Sydney,"-33,8944000","151,1777445",Entire home/apt,"$320,00",14,1
255090,Your Own Private Studio Apartment,1340540,Tommy,"",Woollahra,Sydney,"-33,8760000","151,2341296",Entire home/apt,"$105,00",16,1
256569,Sandstone Apartment - 350m to Bondi Beach,1347315,Riley,"",Waverley,Sydney,"-33,8959000","151,2716843",Entire home/apt,"$136,00",392,1
257847,SYDNEY BUSHLAND WATERFRONT HIDEAWAY,1356919,Laelie,"",Sutherland Shire,Sydney,"-34,0797000","151,1257009",Entire home/apt,"$199,00",15,1
259037,"Designer Apartment, next to CBD",824724,Jane,"",Sydney,Sydney,"-33,9019000","151,2058789",Entire home/apt,"$150,00",29,1
259857,Stunning room + own bathroom + POOL,673365,Marie,"",Marrickville,Sydney,"-33,8906000","151,1779083",Private room,"$109,00",114,1
262192,Harbour Foreshore Shared Accomm,1324995,Robert,"",Sydney,Sydney,"-33,8572000","151,2061922",Private room,"$145,00",20,3
264513,Family Home on Willoughby Park.,1387801,Kristin,"",Willoughby,Sydney,"-33,7938000","151,2026282",Entire home/apt,"$550,00",27,1
264925,Stunning North Bondi Beach Pad,1389838,Sophie & Todd,"",Waverley,Sydney,"-33,8870000","151,2784572",Entire home/apt,"$400,00",9,1
271182,Design Oasis  in Newtown Close to Centre,140484,Bronwyn,"",Sydney,Sydney,"-33,8943000","151,1819583",Entire home/apt,"$143,00",15,1
273477,A beautiful house near Bondi Beach!,1427173,Liora,"",Waverley,Sydney,"-33,8808000","151,2725494",Entire home/apt,"$385,00",1,1
273673,Amazing 1 Queen Apart by Ocean View,1431845,Sebastien,"",Randwick,Sydney,"-33,9420000","151,2489496",Private room,"$125,00",0,1
274251,Bed and Breakfast stay-Merton Hotel,1433530,Gill,"",Leichhardt,Sydney,"-33,8674000","151,1746974",Entire home/apt,"$900,00",2,1
275625,BEAUTIFUL COOGEE BEACH OCEAN VIEW,1440754,Lynda,"",Randwick,Sydney,"-33,9197000","151,2443028",Private room,"$75,00",51,1
