id,name,host_id,host_name,neighbourhood,neighbourhood_group,city,room_type,price,usd,number_of_reviews,calculated_host_listings_count,availability_365,tipo disponibilidad,tipo host
4141228,#211 Private Cozy Apt. in Tokyo,17736560,ﾀﾂﾛｳ (Taturo),Nakano Ku,"",Tokyo,Entire home/apt,¥5380,"$36,05",66,10,-1,'-,Profesional
4158067,BRAND NEW ROOM in 80years house,21578101,Miki,Setagaya Ku,"",Tokyo,Private room,¥6026,"$40,37",112,2,-1,'-,Profesional
4222643,Decoboco hanare,21769906,Decoboco,Koto Ku,"",Tokyo,Entire home/apt,¥7962,"$53,35",293,3,-1,'-,Profesional
4255574,S203 30sec Sta.nearSUMO AKB Shinjuku2032,8660693,Soichi,Koto Ku,"",Tokyo,Private room,¥3228,"$21,63",76,5,-1,'-,Profesional
4360718,(2) 5ppl 11mins Shinjuku 17 Shibuya. -JR Jujo Sta,19152993,Sei,Kita Ku,"",Tokyo,Entire home/apt,¥4196,"$28,11",175,8,-1,'-,Profesional
4391546,2 BR walking distance to AZABU / ROPPONGI area!,22797910,Yuko,Minato Ku,"",Tokyo,Entire home/apt,¥9469,"$63,44",49,2,-1,'-,Profesional
4396219,Nishi-Ogikubo 1BR Twin Type-B (SSH1BRT-B) 2F,18776800,LiveinAsia,Suginami Ku,"",Tokyo,Entire home/apt,¥13450,"$90,12",21,18,-1,'-,Profesional
4396221,Nishi-Ogikubo 1BR Roomy (SSH1BRR) 5F,18776800,LiveinAsia,Suginami Ku,"",Tokyo,Entire home/apt,¥17001,"$113,91",19,18,-1,'-,Profesional
4471640,"To Shinjuku,Shibuya,Ghibli,and Mt.Takao,Okutama(1)",22643572,Sachiko&Kurara,Higashimurayama Shi,"",Tokyo,Private room,¥3658,"$24,51",11,3,-1,'-,Profesional
4471946,Chic 2BR Zen House (5 min to Ueno/10 to Akihabara),23202702,Teruko,Kita Ku,"",Tokyo,Entire home/apt,¥14957,"$100,21",78,2,-1,'-,Profesional
4495014,(6) 11mins Shinjuku. 17mins Shibuya. -JR Jujo Sta.,19152993,Sei,Itabashi Ku,"",Tokyo,Entire home/apt,¥3874,"$25,96",183,8,-1,'-,Profesional
4540924,"3persons Hino room #2, Shinjuku28min Shibuya38min",23416902,Naga,Hino Shi,"",Tokyo,Entire home/apt,¥3443,"$23,07",32,2,-1,'-,Profesional
4585434,"Ikebukuro Sakura - Fully Licensed, 5th Year!",23766491,Brett And Yurie,Toshima Ku,"",Tokyo,Entire home/apt,¥8500,"$56,95",239,3,-1,'-,Profesional
4606903,Reversible Destiny Lofts/for2people,23871736,Matsuda,Mitaka Shi,"",Tokyo,Entire home/apt,¥21520,"$144,18",18,2,-1,'-,Profesional
4616579,Furnished Private Apt.213,17736560,ﾀﾂﾛｳ (Taturo),Nakano Ku,"",Tokyo,Entire home/apt,¥5380,"$36,05",66,10,-1,'-,Profesional
4639078,"Ikebukuro Asahi - Fully Licensed, 5th Year!",23766491,Brett And Yurie,Toshima Ku,"",Tokyo,Entire home/apt,¥8500,"$56,95",208,3,-1,'-,Profesional
4648953,"Ikebukuro Nisshō - Fully Licensed , 5th Year!",23766491,Brett And Yurie,Toshima Ku,"",Tokyo,Entire home/apt,¥8500,"$56,95",219,3,-1,'-,Profesional
4673248,Reversible Destiny Lofts/for4people,23871736,Matsuda,Mitaka Shi,"",Tokyo,Entire home/apt,¥22811,"$152,83",28,2,-1,'-,Profesional
4690684,"To Shinjuku,Shibuya,Ghibli,and Mt.Takao,Okutama(2)",22643572,Sachiko&Kurara,Higashimurayama Shi,"",Tokyo,Private room,¥4089,"$27,40",3,3,-1,'-,Profesional
4691157,"To Shinjuku,Shibuya,Ghibli,and Mt.Takao,Okutama(3)",22643572,Sachiko&Kurara,Higashimurayama Shi,"",Tokyo,Private room,¥3551,"$23,79",15,3,-1,'-,Profesional
4709339,Room in Central Tokyo!!!!,24339628,Taichiro,Shinagawa Ku,"",Tokyo,Private room,¥7962,"$53,35",47,4,-1,'-,Profesional
4713042,comfortable  stay (Blue  Sky ) + pocket wifi:),24230913,Yuni,Arakawa Ku,"",Tokyo,Entire home/apt,¥9469,"$63,44",274,7,-1,'-,Profesional
4714750,Sweet home (5 to 6person :) *☻*+ pocket wifi,24230913,Yuni,Arakawa Ku,"",Tokyo,Entire home/apt,¥9469,"$63,44",53,7,-1,'-,Profesional
4750169,4persons! Shinjuku30min Tokyo45min!,23416902,Naga,Hino Shi,"",Tokyo,Entire home/apt,¥3443,"$23,07",37,2,-1,'-,Profesional
4813245,*NEW*TOKYO HOUSE group/family up to 6 persons WIFI,9782688,Kevin,Toshima Ku,"",Tokyo,Entire home/apt,¥20444,"$136,97",130,3,-1,'-,Profesional
4817291,56㎡ Let's go to Asakusa & Akihabara,23595333,Keiko,Taito Ku,"",Tokyo,Entire home/apt,¥10007,"$67,05",223,2,-1,'-,Profesional
4825779,Japanese Modern Apt / 2 Stops to Shinjuku (#1),24812892,Mao,Shibuya Ku,"",Tokyo,Entire home/apt,¥50035,"$335,23",194,2,-1,'-,Profesional
4827373,calm room-A Shinjuku.3min train,24026566,Kazu,Nakano Ku,"",Tokyo,Private room,¥7532,"$50,46",177,3,-1,'-,Profesional
4842239,"Access into center  Tokyo,for economize travelers",24087904,Rinrin,Bunkyo Ku,"",Tokyo,Entire home/apt,¥6456,"$43,26",166,5,-1,'-,Profesional
4849854,Cozy resort villa TAKAOSAN 高尾山,22134668,Yuki,Hachioji Shi,"",Tokyo,Entire home/apt,¥12051,"$80,74",106,2,-1,'-,Profesional
4881595,Roppongi area(2~3bed) Narita 85 min.Haneda 30 min,32575084,Shie,Minato Ku,"",Tokyo,Private room,¥4950,"$33,17",7,4,-1,'-,Profesional
4888140,(1) 5ppl 2bank beds 11mins Shinjuku. -JR Jujo Sta.,19152993,Sei,Kita Ku,"",Tokyo,Entire home/apt,¥4412,"$29,56",173,8,-1,'-,Profesional
4909611,J's APT 2 Bed Rooms + Free Portable Wi-Fi,7740848,K Family,Katsushika Ku,"",Tokyo,Entire home/apt,¥11836,"$79,30",255,8,-1,'-,Profesional
4917347,Cedar APT  +  Free Pocket Wi-Fi,7740848,K Family,Katsushika Ku,"",Tokyo,Entire home/apt,¥12051,"$80,74",235,8,-1,'-,Profesional
4925503,SHIBUYA SHINJUKU  Hatagaya Station 5 minutes#103,25370510,Mitsuko,Shibuya Ku,"",Tokyo,Entire home/apt,¥6456,"$43,26",134,6,-1,'-,Profesional
4925745,New House 100㎡ near metro happy!!!!,23595333,Keiko,Taito Ku,"",Tokyo,Entire home/apt,¥16033,"$107,42",211,2,-1,'-,Profesional
4926317,SHIBUYA SHINJUKU 幡ヶ谷駅徒歩5分 観光ｼｮｯﾋﾟﾝｸﾞに便利!,25370510,Mitsuko,Shibuya Ku,"",Tokyo,Entire home/apt,¥4519,"$30,28",244,6,-1,'-,Profesional
4926426,SHIBUYA SHINJUKU 5 minutes walk from  Station,25370510,Mitsuko,Shibuya Ku,"",Tokyo,Entire home/apt,¥6026,"$40,37",212,6,-1,'-,Profesional
5002606,Roppongi area.Narita 85 .Haneda 30 min,32575084,Shie,Minato Ku,"",Tokyo,Private room,¥4842,"$32,44",5,4,-1,'-,Profesional
5034900,One Room Apartment with own bathroom (A4-D),25865449,Seungkwan,Shinjuku Ku,"",Tokyo,Entire home/apt,¥12051,"$80,74",38,19,-1,'-,Profesional
