id,name,host_id,host_name,neighbourhood,neighbourhood_group,city,room_type,price,usd,number_of_reviews,calculated_host_listings_count,availability_365,tipo disponibilidad,tipo host
209780,The Mad B&B - Cool 3BD with Wifi & AC,669927,Diana,Abrantes,Carabanchel,Madrid,Entire home/apt,"94,00 €","$109,04",192,1,0,Disponibilidad baja,particular
211444,Private Room in a Sunny and Luxuriously Appointed Apartment,1090760,Jon,Canillas,Hortaleza,Madrid,Private room,"55,00 €","$63,80",122,1,365,Disponibilidad alta,particular
217674,PENTHOUSE PLAZA MAYOR ROOFTOP TERRACE XVI CENTURY,1732442,Anouk,Sol,Centro,Madrid,Entire home/apt,"101,00 €","$117,16",207,7,316,Disponibilidad alta,profesional
219303,*** Malasaña B&B exterior***,499977,Charo,Universidad,Centro,Madrid,Private room,"19,00 €","$22,04",185,3,364,Disponibilidad alta,profesional
225462,Bright silent room in the center,1174648,Rebeca,Cortes,Centro,Madrid,Private room,"30,00 €","$34,80",147,1,338,Disponibilidad alta,particular
225489,Madrid City Center. Room for 1 or 2 people.,1172225,Eva,Arapiles,Chamberí,Madrid,Private room,"25,00 €","$29,00",31,3,0,Disponibilidad baja,profesional
229664,Beautiful cozy loft madrid center,1130651,Sergio,Embajadores,Centro,Madrid,Entire home/apt,"43,00 €","$49,88",493,3,289,Disponibilidad alta,profesional
231861,COMFORTABLE ROOM IN A GREAT AREA!!!,1212528,Silvia,Trafalgar,Chamberí,Madrid,Private room,"61,00 €","$70,76",0,1,0,Disponibilidad baja,particular
240128,CHEAP  ROOM ONLY GIRLS OR COUPLES,630482,Raquel,Opañel,Carabanchel,Madrid,Private room,"25,00 €","$29,00",77,2,364,Disponibilidad alta,particular
256004,CASA ARCO CUCHILLEROS-BOTIN,1732442,Anouk,Sol,Centro,Madrid,Entire home/apt,"80,00 €","$92,80",146,7,365,Disponibilidad alta,profesional
260656,Quiet duplex apartment in Lavapiés,1367452,Javier,Embajadores,Centro,Madrid,Entire home/apt,"88,00 €","$102,08",36,1,362,Disponibilidad alta,particular
260951,"Spectacular Loft ""A"" Ifema  Madrid",1351865,Angela Y Jaime,Valdefuentes,Hortaleza,Madrid,Entire home/apt,"95,00 €","$110,20",135,4,0,Disponibilidad baja,profesional
261878,GREAT STUDIO! BEST REVIEWS! CENTRAL,1373873,Al,Universidad,Centro,Madrid,Entire home/apt,"67,00 €","$77,72",484,1,151,Disponibilidad media,particular
263748,"LOFT ""C"" modern design loft IFEMA",1351865,Angela Y Jaime,Valdefuentes,Hortaleza,Madrid,Entire home/apt,"64,00 €","$74,24",111,4,37,Disponibilidad baja,profesional
268275,Madrid center with balconies,1406073,Jose Antonio,Embajadores,Centro,Madrid,Entire home/apt,"79,00 €","$91,64",57,1,104,Disponibilidad media,particular
280733,Stylish apartment you will love with balconies,596469,Gabriel Avalos,Universidad,Centro,Madrid,Entire home/apt,"110,00 €","$127,60",32,25,184,Disponibilidad alta,profesional
281224,Central & Comfy Apartment in Opera - Royal Palace,1466005,Pe,Palacio,Centro,Madrid,Entire home/apt,"68,00 €","$78,88",106,1,163,Disponibilidad media,particular
282195,Winter Offer 40m2 Wifi. Centre O,740087,Jesus&Sonia,Cortes,Centro,Madrid,Entire home/apt,"71,00 €","$82,36",47,8,340,Disponibilidad alta,profesional
282196,"COZY FLAT, SANTA ANA,40m2,WIFI (I)",740087,Jesus&Sonia,Cortes,Centro,Madrid,Entire home/apt,"59,00 €","$68,44",72,8,341,Disponibilidad alta,profesional
282715,"Cozy and Luxury Penthouse, GL*****Madrid",1473247,Marta,Recoletos,Salamanca,Madrid,Entire home/apt,"175,00 €","$203,00",111,1,337,Disponibilidad alta,particular
287660,Beatiful downtown room with balcony,1496188,Juanpe,Universidad,Centro,Madrid,Private room,"30,00 €","$34,80",11,2,0,Disponibilidad baja,particular
289555,Casa Museo del Prado-Private room.,901218,Myrko,Cortes,Centro,Madrid,Private room,"26,00 €","$30,16",168,22,308,Disponibilidad alta,profesional
294520,Centro de Madrid Gran Habitación,1522694,Isdel Pablo,Justicia,Centro,Madrid,Private room,"50,00 €","$58,00",25,4,0,Disponibilidad baja,profesional
294529,Centro de Madrid. Room 3,1522694,Isdel Pablo,Justicia,Centro,Madrid,Private room,"37,00 €","$42,92",55,4,365,Disponibilidad alta,profesional
297017,Charming Prado Luxury,4677030,Jaime,Cortes,Centro,Madrid,Entire home/apt,"89,00 €","$103,24",58,6,344,Disponibilidad alta,profesional
310333,"Central, cute & Art Apartment",1596220,Paloma,Embajadores,Centro,Madrid,Entire home/apt,"61,00 €","$70,76",108,1,333,Disponibilidad alta,particular
310678,Precioso apartamento en Gran Via,1598163,Soledad,Universidad,Centro,Madrid,Entire home/apt,"68,00 €","$78,88",311,1,263,Disponibilidad alta,particular
315682,QUIET and SPACIOUS .Heart of Malasaña.Madrid.,1095831,Rosalind  & Tino,Universidad,Centro,Madrid,Entire home/apt,"172,00 €","$199,52",208,4,0,Disponibilidad baja,profesional
316711,"OPERA, PALACIO REAL, CENTRO, SOL",162701,Nacho,Sol,Centro,Madrid,Private room,"200,00 €","$232,00",15,3,159,Disponibilidad media,profesional
333974,Winter froml 34€per.Centric.Wifi E,740087,Jesus&Sonia,Cortes,Centro,Madrid,Entire home/apt,"59,00 €","$68,44",62,8,341,Disponibilidad alta,profesional
336672,Great apartment ∞4 rooms∞ close to City Center,1716726,Jesús,Delicias,Arganzuela,Madrid,Entire home/apt,"106,00 €","$122,96",57,5,90,Disponibilidad baja,profesional
