id;name;host_id;host_name;neighbourhood_group;neighbourhood;city;room_type;price;usd;minimum_nights;number_of_reviews;calculated_host_listings_count;availability_365;tipo disponibilidad;tipo host
7099204;A comfortable house, Milan Center;19042851;Luca;-;LORETO;Milán;Private room;200;232;1;11;1;364;Disponibilidad alta;particular
7099707;Classy Italian Apartment;21629034;Tommaso;-;BUENOS AIRES - VENEZIA;Milán;Entire home/apt;115;133,4;1;16;6;196;Disponibilidad alta;profesional
7103171;BRERA GROUPS, central apartments on the same floor;26588165;Diletta;-;BRERA;Milán;Entire home/apt;679;787,64;1;67;13;0;Disponibilidad baja;profesional
7105140;Design central Milan apartment;36506826;Davide;-;GUASTALLA;Milán;Entire home/apt;199;230,84;3;78;1;121;Disponibilidad media;particular
7105661;Porta Venezia monolocale;37226607;Simone;-;BUENOS AIRES - VENEZIA;Milán;Entire home/apt;150;174;1;12;1;364;Disponibilidad alta;particular
7107124;Camera matrimoniale accogliente;19959626;Leonardo;-;MACIACHINI - MAGGIOLINA;Milán;Private room;66;76,56;1;22;1;363;Disponibilidad alta;particular
7108116;Peaceful Room;37236022;Francesca;-;XXII MARZO;Milán;Private room;45;52,2;7;4;1;83;Disponibilidad baja;particular
7114428;Come a casa tua ...;37265171;Elisabetta;-;GALLARATESE;Milán;Private room;52;60,32;1;26;1;365;Disponibilidad alta;particular
7120395;Raffinati  appartamenti nel centro di Milano.;37299812;La Casa Di Alice;-;XXII MARZO;Milán;Entire home/apt;150;174;3;1;3;83;Disponibilidad baja;profesional
7124110;Sunny Sweet House in Milan, Navigli;36081530;Guia;-;TICINESE;Milán;Entire home/apt;44;51,04;1;3;1;0;Disponibilidad baja;particular
7127929;Milan downtown cozy apartment;21988481;Christian;-;DUOMO;Milán;Entire home/apt;169;196,04;2;1;1;0;Disponibilidad baja;particular
7131459;Cozy studio flat, modern & stylish;37346156;Daniela;-;GIAMBELLINO;Milán;Entire home/apt;62;71,92;1;34;1;365;Disponibilidad alta;particular
7138175;Naviglio Grande | Sunny studio in the city centre;37386017;Enrico;-;NAVIGLI;Milán;Entire home/apt;70;81,2;2;49;1;49;Disponibilidad baja;particular
7140116;Charming Loft for Art Lovers;36319483;Marco;-;SCALO ROMANA;Milán;Entire home/apt;120;139,2;2;8;1;360;Disponibilidad alta;particular
7140262;Le tre Noci;29562999;Daniela;-;UMBRIA - MOLISE;Milán;Entire home/apt;60;69,6;2;75;2;62;Disponibilidad baja;particular
7140881;;13566577;Alice;-;LORETO;Milán;Private room;60;69,6;2;52;1;365;Disponibilidad alta;particular
7141285;Fashion&Design district-Via Savona;3817269;Greta;-;TORTONA;Milán;Entire home/apt;180;208,8;2;11;1;0;Disponibilidad baja;particular
7152965;DELIZIOSO LOFT MODERNO E NUOVO;881915;Elisabetta;-;DE ANGELI - MONTE ROSA;Milán;Entire home/apt;90;104,4;1;2;5;0;Disponibilidad baja;profesional
7155128;Two-rooms apartment Bande Nere;37471798;Sibilla;-;BANDE NERE;Milán;Entire home/apt;42;48,72;2;19;1;219;Disponibilidad alta;particular
7156198;Cool single room in a fancy area :);2471053;Edit;-;WASHINGTON;Milán;Private room;66;76,56;1;7;1;364;Disponibilidad alta;particular
7156775;La casa del cuore a Milano;37416169;Paola;-;BOVISA;Milán;Entire home/apt;53;61,48;2;23;1;132;Disponibilidad media;particular
7157408;Notbed Milano - Via Corsico 12, view on the Canal;1162539;Paolo;-;NAVIGLI;Milán;Entire home/apt;86;99,76;15;65;4;160;Disponibilidad media;profesional
7161642;Home away from home;14415991;Josephine;-;PADOVA;Milán;Entire home/apt;63;73,08;3;1;1;67;Disponibilidad baja;particular
7162341;BILO PANORAMICO Navigli free Wi-Fi - piano 8;3777027;Maria;-;NAVIGLI;Milán;Entire home/apt;59;68,44;2;23;2;364;Disponibilidad alta;particular
7162414;BILO PANORAMICO Navigli - FREE WIFI piano 7;3777027;Maria;-;NAVIGLI;Milán;Entire home/apt;59;68,44;2;32;2;364;Disponibilidad alta;particular
7170562;Spacious, bright, very central room;16333704;Venelin;-;TICINESE;Milán;Private room;42;48,72;4;31;1;0;Disponibilidad baja;particular
7182478;Stanza privata in appartamento;22566151;Emanuela;-;PARCO LAMBRO - CIMIANO;Milán;Private room;40;46,4;5;5;1;38;Disponibilidad baja;particular
7192370;DOUBLE BED 5 mins CRESCENZAGO MM2;35377891;Lucia;-;ADRIANO;Milán;Private room;25;29;2;45;7;34;Disponibilidad baja;profesional
7196117;Refined, modern, design's LOFT;37681365;Marilyn;-;LORETO;Milán;Entire home/apt;250;290;1;10;1;365;Disponibilidad alta;particular
7209732;Camera con bagno in splendido loft;35292347;Elga;-;LAMBRATE;Milán;Private room;75;87;1;6;1;363;Disponibilidad alta;particular
7212349;Perfect flat in the heart of Milan;15994473;Chiara;-;BUENOS AIRES - VENEZIA;Milán;Entire home/apt;90;104,4;3;1;1;0;Disponibilidad baja;particular
7213897;Stupendo Bilocale;25998217;Chiara Carlotta;-;DERGANO;Milán;Entire home/apt;45;52,2;1;88;1;222;Disponibilidad alta;particular
7214640;Stanza a Milano x ragazza vicino MM;37771690;Ada;-;AFFORI;Milán;Private room;35;40,6;1;3;1;0;Disponibilidad baja;particular
7215126;STRATEGIC LOCATION IN THE GREEN;35751428;Paola;-;QT 8;Milán;Entire home/apt;170;197,2;3;127;1;274;Disponibilidad alta;particular
7217043;FILM STUDIOS - nuovo monolocale!;37783361;Federica Riva;-;DERGANO;Milán;Entire home/apt;60;69,6;2;0;11;0;Disponibilidad baja;profesional
